id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jumlah_guru,satuan,tahun_ajaran
1,32,JAWA BARAT,3201,KABUPATEN BOGOR,2950,ORANG,2015/2016
2,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,2353,ORANG,2015/2016
3,32,JAWA BARAT,3203,KABUPATEN CIANJUR,3832,ORANG,2015/2016
4,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2100,ORANG,2015/2016
5,32,JAWA BARAT,3205,KABUPATEN GARUT,2208,ORANG,2015/2016
6,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2413,ORANG,2015/2016
7,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1092,ORANG,2015/2016
8,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,941,ORANG,2015/2016
9,32,JAWA BARAT,3209,KABUPATEN CIREBON,1117,ORANG,2015/2016
10,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,864,ORANG,2015/2016
11,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,778,ORANG,2015/2016
12,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1159,ORANG,2015/2016
13,32,JAWA BARAT,3213,KABUPATEN SUBANG,1058,ORANG,2015/2016
14,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,1238,ORANG,2015/2016
15,32,JAWA BARAT,3215,KABUPATEN KARAWANG,1210,ORANG,2015/2016
16,32,JAWA BARAT,3216,KABUPATEN BEKASI,1297,ORANG,2015/2016
17,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,1154,ORANG,2015/2016
18,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,574,ORANG,2015/2016
19,32,JAWA BARAT,3271,KOTA BOGOR,618,ORANG,2015/2016
20,32,JAWA BARAT,3272,KOTA SUKABUMI,758,ORANG,2015/2016
21,32,JAWA BARAT,3273,KOTA BANDUNG,1334,ORANG,2015/2016
22,32,JAWA BARAT,3274,KOTA CIREBON,226,ORANG,2015/2016
23,32,JAWA BARAT,3275,KOTA BEKASI,1248,ORANG,2015/2016
24,32,JAWA BARAT,3276,KOTA DEPOK,838,ORANG,2015/2016
25,32,JAWA BARAT,3277,KOTA CIMAHI,495,ORANG,2015/2016
26,32,JAWA BARAT,3278,KOTA TASIKMALAYA,855,ORANG,2015/2016
27,32,JAWA BARAT,3279,KOTA BANJAR,198,ORANG,2015/2016
28,32,JAWA BARAT,3201,KABUPATEN BOGOR,2933,ORANG,2016/2017
29,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,1351,ORANG,2016/2017
30,32,JAWA BARAT,3203,KABUPATEN CIANJUR,1304,ORANG,2016/2017
31,32,JAWA BARAT,3204,KABUPATEN BANDUNG,2226,ORANG,2016/2017
32,32,JAWA BARAT,3205,KABUPATEN GARUT,879,ORANG,2016/2017
33,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,2096,ORANG,2016/2017
34,32,JAWA BARAT,3207,KABUPATEN CIAMIS,1116,ORANG,2016/2017
35,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,828,ORANG,2016/2017
36,32,JAWA BARAT,3209,KABUPATEN CIREBON,939,ORANG,2016/2017
37,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,818,ORANG,2016/2017
38,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,1196,ORANG,2016/2017
39,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,1145,ORANG,2016/2017
40,32,JAWA BARAT,3213,KABUPATEN SUBANG,1071,ORANG,2016/2017
